DATE,HOUR,LAT,LONG,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
7/12/16,0,39.98,-105.48,1009.4,13.8,-0.4,4.2,290.7,4.9,0,32.5
7/12/16,1,39.98,-105.48,1007.9,11.9,2.1,5.3,277.7,3.2,0,51.8
7/12/16,2,39.98,-105.48,1009.5,11.1,3.7,4.4,269,3.3,0,62.6
7/12/16,3,39.98,-105.48,1010,10.9,2.9,4.7,282.4,3.1,0,59.8
7/12/16,4,39.98,-105.48,1009,9.8,0.7,5.4,287.6,3.8,0,54.4
7/12/16,5,39.98,-105.48,1007,9.5,0.9,6.3,293.9,3.7,0,56.6
7/12/16,6,39.98,-105.48,1007,9.3,-5.2,6.4,177.5,4.3,0,28.9
7/12/16,7,39.98,-105.48,1007.2,13.5,-5.4,6.5,148.8,5.3,0,11.1
7/12/16,8,39.98,-105.48,1006.4,16.6,-5.8,6.2,285.6,1,0,-2.4
7/12/16,9,39.98,-105.48,1007.4,18.1,-5.8,5.7,252,2.9,0,-7.9
7/12/16,10,39.98,-105.48,1006.7,19.5,-6.7,5.9,243.4,7.8,0,-16.8
7/12/16,11,39.98,-105.48,1005.2,21.2,-7,6.4,253.9,9.6,0,-24.0
7/12/16,12,39.98,-105.48,1005.2,21.9,-5.9,6.5,247.3,10.5,0,-21.7
7/12/16,13,39.98,-105.48,1003,23.1,-7.5,7.3,268.4,11.4,0,-32.5
7/12/16,14,39.98,-105.48,1001.5,24.2,-7.5,8.7,257,10.2,0,-36.1
7/12/16,15,39.98,-105.48,1000.6,25.1,-8.2,9.7,249.6,11.3,0,-41.9
7/12/16,16,39.98,-105.48,998.9,25.2,-10.1,10.2,253.9,12.6,0,-50.1
7/12/16,17,39.98,-105.48,998.7,25.1,-8,10.6,259.8,13.1,0,-41.1
7/13/16,18,39.98,-105.48,999.3,24.3,-8.9,10.3,266.7,13,0,-42.3
7/12/16,19,39.98,-105.48,999.1,23.6,-7.9,10.4,262.6,12.3,0,-35.8
7/12/16,20,39.98,-105.48,1001,21.6,-6.6,10.1,277.7,6.6,0,-23.6
7/12/16,21,39.98,-105.48,1002.2,18.1,-5.7,9.5,253.3,3.5,0,-7.4
7/12/16,22,39.98,-105.48,1004.2,16.4,-4.8,9.2,185.6,4.9,0,2.8
7/12/16,23,39.98,-105.48,1005.7,15,-6.6,9.3,191.4,3.4,0,0.0
7/12/16,24,39.98,-105.48,1004.670833,17.86666667,-4.7375,7.466666667,251.4916667,6.904166667,0,-1.0
