DATE,HOUR,LAT,LONG,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
8062017,0,47.26,-113.5,1015.8,11.5,6.4,6,180.4,2.8,0,73.3
8062017,1,47.26,-113.5,1016.3,10.9,6,5.6,192.6,2.4,0,74.1
8062017,2,47.26,-113.5,1015.6,10.7,5.5,5.5,203,1.5,0,72.7
8062017,3,47.26,-113.5,1014.6,10.3,5.5,5.5,185.4,0.5,0,74.5
8062017,4,47.26,-113.5,1014.4,9.8,5.2,5.7,324.5,0.2,0,75.3
8062017,5,47.26,-113.5,1014.1,11,5.1,5.6,59.7,0.2,0,69.5
8062017,6,47.26,-113.5,1014.7,11,4.8,5.8,136.1,0.4,0,68.1
8062017,7,47.26,-113.5,1015.4,9.5,5.2,5.5,296.5,0.7,0,76.7
8062017,8,47.26,-113.5,1016.4,12.6,4.9,5.4,247.8,1.1,0,61.6
8062017,9,47.26,-113.5,1016.8,13.8,5.7,5.3,233.9,3.3,0,60.1
8062017,10,47.26,-113.5,1016.6,15.8,5.8,5.2,217.9,3.7,0,52.2
8062017,11,47.26,-113.5,1016.8,17.8,5.4,5.7,199.9,4.7,0,42.3
8062017,12,47.26,-113.5,1016.5,19.6,3.9,5.6,182.9,4.6,0,28.7
8062017,13,47.26,-113.5,1016.4,20.9,3,5.7,195.7,3.9,0,19.9
8062017,14,47.26,-113.5,1016.2,21.4,2.8,6.3,206.2,2.7,0,17.2
8062017,15,47.26,-113.5,1014.6,22.9,2.4,7.5,256.6,3.3,0,10
8062017,16,47.26,-113.5,1013.8,23.6,1.4,8.6,225.4,2.9,0,3.3
8062017,17,47.26,-113.5,1012.9,23.6,2,8.9,113,3.9,0,5.8
8062017,18,47.26,-113.5,1011.5,25.7,-0.1,11.3,328.3,3.2,0,-10.3
8062017,19,47.26,-113.5,1011.3,24.7,-0.1,11.1,52.2,3.7,0,-6.9
8062017,20,47.26,-113.5,1012,23.1,0.6,10.9,68.6,4.3,0,1.7
8062017,21,47.26,-113.5,1012.6,20.8,0.5,10.6,68.3,7.2,0,9.5
8062017,22,47.26,-113.5,1012.5,20,-1.3,10.6,60.6,7.2,0,4.7
8062017,23,47.26,-113.5,1012.9,19.2,-2.3,10.7,48.8,6.6,0,3.3
8062017,24,47.26,-113.5,1014.6,17.1,3.3,7.3,178.5,3.1,0,37
